Subject,Start Date,Start Time,End Date,End Time,Description
🏢仕事(13-21),2026/02/21,13:00,2026/02/21,21:00,シフト詳細：遅番
🏢仕事(9-17),2026/02/22,09:00,2026/02/22,17:00,シフト詳細：通常
🛌休み,2026/02/23,09:00,2026/02/23,18:00,天皇誕生日・休み
🛌休み,2026/02/24,09:00,2026/02/24,18:00,貴重な休日・M-Lab合宿！
🏢仕事(9-21),2026/02/25,09:00,2026/02/25,21:00,シフト詳細：長時間ロング
🏢仕事(9-13),2026/02/26,09:00,2026/02/26,13:00,シフト詳細：午前中のみ（午後M-Lab）
🏢仕事(9-21),2026/02/27,09:00,2026/02/27,21:00,シフト詳細：長時間ロング
🛌休み,2026/02/28,09:00,2026/02/28,18:00,2月最終日・完全オフ
🏢仕事(13-21),2026/03/01,13:00,2026/03/01,21:00,シフト詳細：遅番
🏢仕事(13-21),2026/03/02,13:00,2026/03/02,21:00,シフト詳細：遅番
🏢仕事(13-21),2026/03/03,13:00,2026/03/03,21:00,シフト詳細：遅番
🏢仕事(13-21),2026/03/04,13:00,2026/03/04,21:00,シフト詳細：遅番
🛌休み,2026/03/05,09:00,2026/03/05,18:00,完全オフ！
🏢仕事(9-21),2026/03/06,09:00,2026/03/06,21:00,シフト詳細：12時間ロング！
🏢仕事(13-21),2026/03/07,13:00,2026/03/07,21:00,シフト詳細：遅番
🏢仕事(9-21),2026/03/08,09:00,2026/03/08,21:00,シフト詳細：12時間ロング！
🏢仕事(13-21),2026/03/09,13:00,2026/03/09,21:00,シフト詳細：遅番
🛌休み,2026/03/10,09:00,2026/03/10,18:00,貴重な休日
🛌休み,2026/03/11,09:00,2026/03/11,18:00,貴重な休日
🏢仕事(13-21),2026/03/12,13:00,2026/03/12,21:00,シフト詳細：遅番
🏢仕事(13-21),2026/03/13,13:00,2026/03/13,21:00,シフト詳細：遅番
🏢仕事(9-21),2026/03/14,09:00,2026/03/14,21:00,シフト詳細：12時間ロング！
🛌休み,2026/03/15,09:00,2026/03/15,18:00,完全オフ！
🏢仕事(9-21),2026/03/16,09:00,2026/03/16,21:00,シフト詳細：12時間ロング！
🏢仕事(13-21),2026/03/17,13:00,2026/03/17,21:00,シフト詳細：遅番
🛌休み,2026/03/18,09:00,2026/03/18,18:00,完全オフ！
🛌休み,2026/03/19,09:00,2026/03/19,18:00,貴重な連休１日目
🛌休み,2026/03/20,09:00,2026/03/20,18:00,春分の日・連休２日目
